Molecule_id,Canonical_SMILES,Source
CHEMBL4283610,O=C(CCc1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12)N1CCOCC1,S1
CHEMBL4283611,CS(=O)(=O)N(CC(O)Cn1c2ccccc2c2ccccc21)c1ccc(Cl)cc1,S1
CHEMBL4283612,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)CCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCc1ccc(C(=N)N)cc1)C(C)C,S1
CHEMBL4283613,CCn1c(C(=O)NCCNC(=O)OC(C)(C)C)ccc1C(CC)(CC)c1ccc(OCS(=O)(=O)c2ccccc2)c(C)c1,S1
CHEMBL4283614,COc1cccc(-c2nc3ccc(-c4ccccc4)cn3c2CN2CCN(C(=O)COc3ccc(Cl)cc3)CC2)c1,S1
CHEMBL4283699,NS(=O)(=O)c1cc(NC(=O)Nc2ccc3c(c2)OCO3)c(O)c([N+](=O)[O-])c1,S1
CHEMBL4283700,CCC12CC3CC(N)(C1)CC(CO[N+](=O)[O-])(C3)C2,S1
CHEMBL4283701,CN(Cc1ccc(OC(F)(F)F)c(Cl)c1)C(=O)c1ccc(S(=O)(=O)Nc2ncns2)c(F)c1,S1
CHEMBL4283702,CCOC(=O)C[C@@H]([C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OCc1ccccc1)n1cnc2c(NCc3ccccc3)ncnc21,S1
CHEMBL4283703,Clc1ccc2c(n1)OC13CCC1NCC23,S1
CHEMBL4283790,Cc1cc(COc2ccccc2)n(C)n1,S1
CHEMBL4283791,COc1cccc(N2CCN(CCCCOc3c(C(C)=O)c(C)cc4oc(=O)cc(C)c34)CC2)c1,S1
CHEMBL4283792,CCn1c(C(=O)N[C@@H](C(=O)O)C(C)C)ccc1C(CC)(CC)c1ccc(OCS(=O)(=O)c2ccccc2)c(C)c1,S1
CHEMBL4283793,NC(=O)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@]1(O)C(=O)Nc2ccccc21)C(=O)NCc1ccccc1,S1
CHEMBL4283794,COc1nc2c(c(=O)n(C)c(=O)n2C)n1CCCC(=O)NCc1ccccc1Cl,S1
CHEMBL4283795,FC(F)(F)c1ccc2nc(-c3ccc(Cl)cc3)c(CN3CCOCC3)n2c1,S1
CHEMBL4283876,N#Cc1ccc([C@H](C(=O)NCC2CC2)N2CC3CCC(C2)N3C(=O)c2cc(F)ccc2F)cc1,S1
CHEMBL4283877,CC(c1ccccc1)n1cnc(-c2cc(-c3c[nH]nn3)ccn2)c1,S1
CHEMBL4283878,Cc1cc(O)c(/C(=C\C(=O)N2CCOCC2)c2ccc(F)cc2)c(C)c1-c1ccc(CN2CCOCC2)cc1,S1
CHEMBL4283879,CC(C)(C)OC(=O)N1CCC2(CCc3cc(Nc4ccc(S(C)(=O)=O)cc4F)ccc3O2)CC1,S1
CHEMBL4283880,CC(C)=CCC/C(C)=C/Cn1cc(-c2ccccc2)nn1,S1
CHEMBL4283962,[N-]=[N+]=NCCOCCOc1ccc(-c2oc3ccccc3c(=O)c2OCc2ccccc2)cc1,S1
CHEMBL4283963,O=c1ccn2c(n1)O[C@H](COc1ccc(-c3cccc(C(F)(F)F)c3)cc1)C2,S1
CHEMBL4283964,COc1ccc(S(=O)(=O)N2C[C@H](N(C)c3ncnc4[nH]ccc34)C3(CC3)C2)cc1,S1
CHEMBL4283965,CCS(=O)(=O)N1C[C@H](N(C)c2ncnc3[nH]ccc23)C2(CC2)C1,S1
CHEMBL4284043,C=CC(=O)Nc1ccc(C(=O)/C=C/c2ccccc2C(F)(F)F)cc1,S1
CHEMBL4284044,NC(N)=Nc1nc(-c2cccc(N3CCN(CCOCCOCCNC(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCOCCOCCNC(=O)NCCOCCOCCN4CCN(c5cccc(-c6nc(N=C(N)N)nc7ccc(Cl)cc67)c5)CC4)CC3)c2)c2cc(Cl)ccc2n1,S1
CHEMBL4284045,CCOC(=O)CC(c1ccc(F)cc1)C1CCN(C(=O)c2ccc([N+](=O)[O-])o2)CC1,S1
CHEMBL4284046,COc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)Nc1cccc(Cl)c1,S1
CHEMBL4284047,Cn1c2nc3ccccc3c-2c(NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c2ccccc21,S1
CHEMBL4284048,Cc1cc(C(=O)O)ccc1-c1ccc(/C=c2/sc3nc4ccccc4n3c2=O)o1,S1
CHEMBL4284126,COc1ccc2cc(C(C)c3nnc(-c4ccc([N+](=O)[O-])cc4)o3)ccc2c1,S1
CHEMBL4284127,CNc1ncc(C(=O)OCc2ccc(F)cc2)c2nc(-c3ccco3)nn12,S1
CHEMBL4284128,COc1ccc(O)c(C(=O)c2cnc3[nH]c(=O)[nH]c(=O)c3c2)c1,S1
CHEMBL4284129,Cn1c(C(=O)NC2CC(C)(C)NC(C)(C)C2)cc2ccc(Cl)cc21,S1
CHEMBL4284131,CCOC(=O)c1cnc(N2CCN(Cc3cccc(C(F)(F)F)c3)CC2)nc1Oc1c(C)cc(-c2ccc(C#N)cc2)cc1C,S1
CHEMBL4284221,Cc1cc(Cc2cc(O)cc(NC(=O)C3CCCCC3)c2)cc(C)c1C,S1
CHEMBL4284222,CC(=O)Nc1cc2cc(c1OC(C)=O)Oc1ccc(cc1)CCc1cccc(OC(C)=O)c1-c1ccc(cc1OC(C)=O)CC2,S1
CHEMBL4284223,CCCNC(=S)NCC1(C)CCc2ccc3ccc(OC)cc3c21,S1
CHEMBL4284224,CCc1ccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CC)C(=O)N23)o1,S1
CHEMBL4284225,NS(=O)(=O)c1ccc(C(=O)N/N=C/c2ccc(N3CCN(c4ccc(F)cc4)CC3)cc2)cc1,S1
CHEMBL4284296,OC(Cn1cncn1)(Cn1c2ccc(Br)cc2c2cc(Br)ccc21)c1ccc(Cl)c(Cl)c1,S1
CHEMBL4284297,CC(C)CN1CC(=O)N2Cc3c(c4ccccc4n3Cc3ccc(C(=O)NO)cc3)CC2C1=O,S1
CHEMBL4284298,COc1ccc(-n2cc(C(=O)N[C@H]3c4cc5c(cc4[C@@H](c4cc(OC)c(OC)c(OC)c4)[C@H]4C(=O)OC[C@@H]43)OCO5)nn2)cc1,S1
CHEMBL4284299,O=c1cc(NC2CCN(S(=O)(=O)C(F)(F)F)CC2)c2cc(C(c3ccc(Cl)cc3)n3ccnc3)ccc2[nH]1,S1
CHEMBL4284300,CC(=O)Nc1ccc(-n2cc(C(c3c[nH]c4ccc(Br)cc34)c3c[nH]c4ccc(Br)cc34)nn2)cc1,S1
CHEMBL4284301,CCC1(C)C(C)=Nc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc21,S1
CHEMBL4284302,C[C@@H]1CCC/C=C/[C@@H]2O[C@H](C[C@@H](O)C/C=C\C=C\[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C/C=C/C=C\C(=O)O1)[C@H]2O,S1
CHEMBL4284393,Cc1ccc2oc(=O)c(C(=O)Nc3c(C#N)cnn3-c3ccc(F)cc3)cc2c1,S1
CHEMBL4284394,FC(F)(F)c1cccc(-c2nc(NC3CC4CC4C3)nc(NC3CC4CC4C3)n2)n1,S1
CHEMBL4284395,Cc1ccc(/C=N\Nc2nc3cccc(C)c3s2)cc1,S1
CHEMBL4284396,COCCc1c[nH]c2ncnc(-c3ccc4c(c3)N(C#N)CC(F)(F)O4)c12,S1
CHEMBL4284397,C/C=C/C(=O)N[C@@H](CC(C)C)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@@H]4C[C@@]43C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C,S1
CHEMBL4284473,CS(=O)(=O)N(CC(O)Cn1c2ccccc2c2ccccc21)CC1CCCCC1,S1
CHEMBL4284474,CCCCCCCCc1ccc(C(=O)[C@@H]2C[C@@H](O)CN2)cc1.Cl,S1
CHEMBL4284475,CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccc(F)cc3)CC2)cc(C(C)(C)C)c1O,S1
CHEMBL4284476,O=Cc1ccc(OCCCCc2cn(CCOCCOc3cccc(-c4oc5ccccc5c(=O)c4OCc4ccccc4)c3)nn2)cc1,S1
CHEMBL4284477,C[C@H]1[C@H](C)CC[C@]2(C(=O)NCCCCCCN)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,S1
CHEMBL4284478,COc1ccc(-c2ccc3c(c2)C(=O)C(=O)N3Cc2ccc(Cl)cc2)cc1,S1
CHEMBL4284479,C=C1C(=O)O[C@H]2[C@H]1CC/C(Cn1cc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn1)=C\CC[C@@]1(C)O[C@@H]21,S1
CHEMBL4284480,C=C1C(=O)O[C@H]2[C@H]1CC/C(Cn1cc(COC(=O)c3ccccc3)nn1)=C\CC[C@@]1(C)O[C@@H]21,S1
CHEMBL4284481,Nc1nc2oc3ccc(C#CC4CC4)cc3c(=O)c2cc1C(=O)O,S1
CHEMBL4284559,O=C(Nc1cccc(Cl)c1)Nc1nccnc1OCc1ccccc1Cl,S1
